ID	Choice	Distance	School_location	Grade	Age	Gender	CarAvail	Season	CB_location	Leistung
1	2	6.03139	0	9	15	0	0	0	0	152.98
2	2	3.48652	0	9	15	1	0	0	1	64.67
3	4	5.331	0	9	14	1	1	0	0	147.19
4	3	3.75005	0	9	15	0	0	0	0	1287.90
5	2	2.041	0	9	15	1	0	0	1	35.36
6	3	4.41029	0	9	15	0	0	0	1	86.43
7	2	4.36	0	9	15	0	1	0	0	140.08
8	2	2.74446	0	9	15	0	1	0	0	111.61
9	2	4.064	0	9	15	0	0	0	1	100.70
10	1	0.406531	0	9	15	0	0	0	0	32.91
11	3	3.42146	0	9	15	0	0	0	0	695.07
12	2	2.12608	0	9	14	0	0	0	0	152.23
13	3	2.71243	0	9	15	0	0	0	0	148.95
14	2	1.342	0	9	15	1	0	0	0	193.08
15	1	0.880555	0	9	15	1	0	0	0	69.93
16	1	0.406531	0	9	15	1	0	0	0	30.27
17	2	4.9853	0	9	15	1	0	0	0	1963.20
18	2	3.24968	0	9	14	0	0	0	0	536.81
19	2	2.041	0	9	15	1	0	0	1	35.36
20	2	2.14344	0	9	15	1	0	0	1	61.02
21	3	2.62991	0	9	15	1	0	0	0	675.65
22	3	5.25	0	9	14	1	0	0	0	44.98
23	3	6.937	0	9	15	1	0	0	0	45.91
24	4	4.089	0	9	15	0	1	0	0	729.38
25	2	3.08127	0	9	15	1	0	0	0	112.77
26	3	3.905	0	9	15	1	0	0	0	141.91
27	3	5.143	0	9	15	1	0	0	0	109.10
28	3	4.311	0	9	15	0	0	0	0	420.01
29	3	4.28448	0	9	15	1	0	0	1	94.07
30	3	3.533	0	9	15	1	0	0	1	65.20
31	3	1.65027	0	9	16	0	0	0	0	184.89
32	1	0.406531	0	9	15	0	0	0	0	32.91
33	3	2.59074	0	6	12	1	0	0	0	282.28
34	1	1.695	0	6	12	1	0	0	0	261.14
35	4	3.194	0	6	12	0	1	0	0	867.70
36	3	5.34	0	6	12	1	0	0	0	146.85
37	3	2.441	0	6	12	1	0	0	0	154.69
38	3	2.97925	0	6	12	1	0	0	0	597.93
39	3	2.16955	0	6	11	1	0	0	0	201.51
40	3	4.9853	0	6	12	0	0	0	0	1613.28
41	3	2.16955	0	6	12	0	0	0	0	212.88
42	3	4.30484	0	6	12	0	0	0	0	1197.35
43	3	2.02571	0	6	12	1	0	0	0	304.13
44	3	4.30484	0	6	12	0	0	0	0	1197.35
45	3	4.9853	0	6	12	0	1	0	0	1613.28
46	3	2.08	0	6	12	0	0	0	0	281.13
47	3	2.62451	0	6	12	0	0	0	0	167.27
48	3	2.70253	0	6	12	0	0	0	0	440.41
49	2	1.65027	0	6	13	0	0	0	0	151.50
50	1	1.078	0	6	13	0	0	0	0	121.14
51	3	1.695	0	6	12	1	0	0	0	261.14
52	3	2.12608	0	6	12	0	0	0	0	128.22
53	3	1.615	0	6	13	1	0	0	0	199.91
54	3	2.08	0	6	12	1	0	0	0	294.39
55	3	2.70967	0	12	18	1	0	0	0	708.73
56	3	1.342	0	12	18	1	0	0	0	197.78
57	2	3.08127	0	12	18	0	0	0	0	194.71
58	3	5.34	0	12	19	0	0	0	0	191.91
59	4	4.633	0	12	18	0	0	0	1	81.46
61	3	3.14182	0	12	19	1	0	0	0	824.27
62	2	2.14117	0	12	18	0	0	0	0	626.76
63	3	3.885	0	12	18	1	0	0	0	1376.48
64	3	2.826	0	12	18	1	0	0	0	558.41
65	3	4.28448	0	12	19	1	0	0	1	101.17
66	3	8.54997	0	12	18	0	0	0	0	61.46
67	3	4.28448	0	12	18	0	0	0	1	116.28
68	3	2.143	0	7	13	1	0	0	0	160.74
69	3	2.75326	0	7	13	0	0	0	0	227.03
70	3	4.064	0	7	12	0	0	0	1	81.18
71	3	4.337	0	7	13	1	0	0	0	117.60
72	3	1.342	0	7	12	1	0	0	0	169.32
73	3	4.337	0	7	12	1	0	0	0	112.38
74	1	0.325	0	7	13	0	0	0	0	22.26
75	2	1.24107	0	7	14	0	0	0	0	197.71
76	2	1.39377	0	7	13	1	0	0	0	120.54
77	1	1.06349	0	7	13	0	0	0	0	79.05
78	3	2.62451	0	7	13	0	0	0	0	185.09
79	1	1.13019	0	7	13	0	0	0	0	244.84
80	3	2.02339	0	7	13	0	0	0	0	151.27
81	3	1.615	0	7	13	0	0	0	0	199.63
82	3	4.337	0	7	13	1	0	0	0	117.60
83	3	2.916	0	7	14	0	0	0	1	66.60
84	1	0.807	0	7	13	0	0	0	0	13.09
85	1	0.880555	0	7	13	0	0	0	0	1.21
86	3	2.491	0	11	17	1	0	0	0	529.10
87	3	5.033	0	11	17	1	0	0	1	59.39
88	1	0.888651	0	11	16	1	0	0	0	123.41
89	2	2.031	0	11	17	0	0	0	1	63.64
90	1	1.79181	0	11	17	0	0	0	0	576.25
91	3	1.64973	0	11	17	1	0	0	0	374.27
92	2	1.13019	0	11	17	1	0	0	0	270.57
93	3	5.34	0	11	17	1	0	0	0	167.41
94	3	1.24107	0	11	18	1	0	0	0	199.28
95	2	2.39697	0	11	17	1	0	0	0	451.36
96	2	1.19991	0	11	17	1	0	0	0	204.07
97	2	2.438	0	11	17	1	0	0	0	634.17
99	2	3.24968	0	10	15	0	0	0	0	574.69
100	3	2.70153	0	10	16	0	0	0	0	237.65
101	4	6.369	0	10	15	0	1	0	0	920.53
102	3	1.65027	0	10	16	0	0	0	0	184.89
103	1	0.406531	0	10	16	0	0	0	0	34.58
104	3	4.53	0	10	15	0	0	0	0	1617.20
105	2	1.79181	0	10	16	1	0	0	0	506.37
106	1	1.516	0	10	16	1	0	0	0	351.75
107	1	0.652	0	10	16	1	0	0	0	1.34
108	2	1.79181	0	10	16	0	0	0	0	568.86
109	2	2.143	0	10	16	0	0	0	0	196.61
110	3	2.491	0	10	16	0	0	0	0	589.97
111	1	0.1	0	10	16	1	1	0	0	57.19
112	3	2.30002	0	10	16	1	0	0	0	622.80
113	3	3.75005	0	10	16	1	0	0	0	1201.80
114	2	2.83904	0	10	16	1	0	0	0	334.44
115	3	2.027	0	10	16	1	0	0	0	197.25
116	3	2.491	0	10	16	1	0	0	0	524.90
117	2	2.466	0	10	17	0	0	0	1	61.58
118	3	3.75005	0	10	15	1	0	0	0	1180.27
119	3	2.62451	0	10	15	1	0	0	0	199.81
120	3	3.18157	0	10	16	0	0	0	0	1040.75
121	1	0.807	0	10	16	0	0	0	0	10.05
122	3	3.18157	0	9	15	0	0	0	0	988.82
123	3	4.337	0	9	15	0	0	0	0	133.37
124	3	5.34	0	9	15	0	0	0	0	175.64
125	3	5.589	0	9	15	1	0	0	0	161.99
126	4	4.163	0	9	15	0	1	0	0	1359.02
127	4	3.194	0	9	15	1	1	0	0	1052.57
128	2	1.24107	0	9	15	1	0	0	0	194.30
129	3	2.30002	0	9	15	1	0	0	0	611.84
130	3	8.20292	0	9	16	0	0	0	0	45.98
131	3	5.384	0	9	15	1	0	0	0	119.25
132	1	1.79181	0	9	15	0	0	0	0	541.31
134	2	2.249	0	9	15	1	0	0	0	283.38
135	3	2.70967	0	9	15	1	0	0	0	674.94
136	3	5.143	0	9	15	0	0	0	0	115.42
137	2	2.76979	0	9	15	0	0	0	0	428.00
138	3	2.02339	0	9	15	0	0	0	0	175.63
139	3	3.55509	0	9	15	1	0	0	0	1005.71
140	3	8.742	0	9	14	1	0	0	1	1446.01
141	3	4.48495	0	9	14	1	0	0	0	174.12
142	3	1.342	0	8	13	1	0	0	0	220.81
143	3	1.65027	0	8	14	1	0	0	0	158.67
144	2	1.513	0	8	14	0	0	0	0	235.46
145	2	1.24107	0	8	14	0	0	0	0	197.71
146	3	5.331	0	8	14	0	0	0	0	152.80
147	2	2.466	0	8	14	1	0	0	1	54.04
148	3	5.693	0	8	14	1	0	0	0	119.37
149	3	4.36006	0	8	13	0	0	0	0	131.93
150	3	3.75005	0	8	13	0	0	0	0	1085.89
151	2	3.905	0	8	14	0	0	0	0	143.86
152	3	2.75326	0	8	13	1	0	0	0	227.35
153	2	2.14344	0	8	14	1	0	0	1	59.52
154	1	2.03987	0	5	11	0	0	0	0	571.71
155	1	0.801278	0	5	11	1	0	0	0	111.21
156	3	1.32	0	5	11	1	0	0	0	132.57
157	4	3.75005	0	5	11	1	1	0	0	913.67
158	4	4.53	0	5	11	1	1	0	0	1145.90
159	3	2.62451	0	5	10	1	0	0	0	144.29
160	3	3.85635	0	5	11	0	0	0	0	647.94
161	3	3.55509	0	5	11	0	0	0	0	772.03
162	1	1.02092	0	5	10	0	0	0	0	84.02
163	4	4.53	0	5	10	1	1	0	0	1033.28
164	1	0.563	0	5	11	1	0	0	0	8.31
165	3	1.38442	0	5	10	1	0	0	0	297.82
166	3	2.62991	0	5	11	1	0	0	0	524.25
167	3	3.11374	0	5	11	0	0	0	0	78.57
168	4	1.51993	0	11	17	1	1	0	0	217.96
169	2	4.04145	0	11	17	1	0	0	1	59.35
170	3	3.905	0	11	17	1	0	0	0	144.76
171	3	2.84124	0	11	17	1	0	0	0	735.19
172	3	3.678	0	11	16	0	0	0	1	218.06
173	2	1.742	0	11	17	1	0	0	0	307.44
174	2	2.16955	0	11	17	0	0	0	0	291.84
175	2	1.615	0	11	17	0	0	0	0	248.16
176	4	5.92	0	11	18	0	1	0	0	2378.54
177	1	0.493865	0	11	17	1	0	0	0	92.21
178	3	4.064	0	11	16	1	0	0	1	98.83
179	3	3.60896	0	11	16	0	0	0	0	63.46
180	2	2.02339	0	11	16	1	0	0	0	165.24
181	3	4.064	0	11	17	1	0	0	1	99.47
182	1	0.493865	0	11	17	0	0	0	0	100.62
183	2	2.30259	0	11	16	0	0	0	0	229.52
184	3	2.62991	0	11	17	0	0	0	0	785.68
185	1	1.02321	0	11	17	1	0	0	0	121.49
186	3	2.67	0	5	11	1	0	0	0	448.57
187	1	0.1	0	5	11	1	0	0	0	48.65
188	3	2.84124	0	5	11	1	0	0	0	558.48
189	3	2.08	0	5	11	1	0	0	0	265.66
190	1	0.594225	0	5	11	0	0	0	0	28.46
191	3	2.75326	0	5	10	1	0	0	0	176.27
192	1	1.03875	0	5	11	1	0	0	0	136.02
193	3	1.342	0	5	11	0	0	0	0	185.93
194	3	5.34	0	6	11	0	0	0	0	134.16
195	3	5.142	0	6	12	0	0	0	0	139.98
196	3	5.34	0	6	12	0	0	0	0	141.49
197	3	2.70967	0	6	12	0	0	0	0	558.06
198	3	4.032	0	6	12	1	0	0	0	240.15
199	1	0.801	0	6	12	1	0	0	0	139.54
200	1	0.807	0	6	11	1	0	0	0	15.02
201	3	4.9853	0	6	12	1	0	0	0	1696.59
202	3	3.55509	0	6	12	0	0	0	0	829.40
203	3	2.84124	0	6	12	0	0	0	0	592.84
204	3	2.98508	0	6	12	0	0	0	0	664.19
205	3	2.491	0	6	12	1	0	0	0	448.63
206	3	3.02254	0	6	12	1	0	0	0	697.24
207	4	3.905	0	6	12	1	1	0	0	127.48
208	1	1.177	0	6	12	1	0	0	0	207.72
209	1	1.07754	0	6	12	1	0	0	0	205.64
210	3	2.98508	0	6	12	1	0	0	0	697.41
211	2	1.513	0	11	16	0	0	0	0	262.66
212	3	4.60181	0	11	16	0	0	0	0	557.49
213	3	3.085	0	11	17	0	0	0	0	116.34
214	3	5.517	0	11	17	0	0	0	1	50.61
215	2	2.44413	0	11	17	1	0	0	0	723.06
216	2	1.96638	0	11	17	0	0	0	0	743.46
217	4	5.589	0	11	17	0	0	0	0	182.14
218	3	5.142	0	11	17	0	0	0	0	183.20
219	4	6.031	0	11	16	0	1	0	0	159.08
220	2	4.268	0	11	17	0	0	0	0	117.46
221	1	0.807	0	11	16	0	0	0	0	10.05
222	3	3.55509	0	11	17	0	0	0	0	1169.43
223	3	4.36	0	5	11	0	0	0	0	109.34
224	3	1.615	0	5	10	1	0	0	0	155.55
225	3	3.492	0	5	12	0	0	0	0	103.78
226	3	2.59074	0	5	11	1	0	0	0	254.49
227	3	4.268	0	5	11	1	0	0	0	86.92
228	3	5.384	0	5	11	0	0	0	0	100.12
229	3	5.124	0	5	11	0	0	0	0	109.85
230	3	5.142	0	5	11	0	0	0	0	132.69
231	3	3.905	0	5	12	1	0	0	0	158.07
232	3	3.61807	0	5	11	1	0	0	0	669.46
233	3	1.82487	0	5	10	0	0	0	0	219.67
234	2	2.607	0	10	16	0	0	0	0	454.56
236	3	1.19991	0	10	16	0	0	0	0	226.24
237	3	9.49556	0	10	16	1	0	0	0	52.66
238	3	2.76979	0	10	16	1	0	0	0	400.55
239	1	0.918	0	10	17	0	0	0	0	84.50
240	1	0.801278	0	10	16	0	0	0	0	150.22
241	1	0.325	0	10	16	0	0	0	0	25.77
242	2	1.96638	0	10	16	1	0	0	0	652.20
243	3	1.19991	0	10	16	1	0	0	0	202.54
244	2	1.24107	0	10	15	1	0	0	0	194.30
245	3	1.148	0	10	16	1	0	0	0	228.24
246	2	4.91063	0	10	16	1	1	0	1	70.90
247	3	2.91642	0	10	16	1	0	0	1	66.60
248	2	2.55729	0	10	15	0	0	0	0	64.24
249	1	0.399877	0	10	15	0	0	0	0	25.53
250	1	0.325	0	10	15	1	0	0	0	23.48
251	2	4.04145	0	10	16	0	0	0	1	63.65
252	2	2.91481	0	10	16	0	0	0	0	41.85
253	3	1.742	0	10	16	1	0	0	0	305.08
254	3	2.485	0	7	13	1	0	0	0	128.37
255	3	2.30651	0	7	13	1	0	0	0	92.09
256	3	5.657	0	7	12	0	0	0	1	12.70
257	2	4.268	0	7	13	0	0	0	0	98.34
258	2	1.90691	0	7	13	0	0	0	0	114.44
259	3	4.48495	0	7	13	1	0	0	0	166.32
260	2	2.55729	0	7	13	1	0	0	0	56.67
261	3	2.485	0	7	13	1	0	0	0	128.37
262	1	0.880555	0	7	12	1	0	0	0	2.21
263	1	0.572643	0	7	13	1	0	0	0	24.24
264	3	3.91864	0	7	13	1	0	0	0	163.05
265	2	1.76742	0	7	13	0	0	0	0	253.65
266	2	1.13019	0	7	13	0	0	0	0	244.84
267	3	4.222	0	7	13	1	0	0	1	100.11
268	1	0.652	0	7	14	0	0	0	0	1.34
269	3	3.22979	0	7	13	0	0	0	0	952.22
270	1	2.30259	0	7	13	0	0	0	0	187.99
271	3	2.613	0	7	13	1	0	0	0	73.51
272	4	3.62621	0	7	13	1	1	0	0	202.44
273	3	4.096	0	10	16	1	0	0	0	343.70
274	2	2.869	0	10	15	1	0	0	0	698.06
275	3	4.096	0	10	16	1	0	0	0	343.70
276	4	2.52365	0	10	15	0	0	0	0	894.39
277	1	0.325	0	10	16	0	0	0	0	25.77
278	3	2.97925	0	10	16	0	0	0	0	788.43
279	3	2.3	0	10	16	1	0	0	0	616.82
280	2	1.19991	0	10	16	1	0	0	0	202.54
281	3	5.347	0	10	16	1	0	0	0	107.86
282	1	0.572643	0	10	16	0	0	0	0	28.23
283	1	1.342	0	10	16	0	0	0	0	271.72
284	2	2.14344	0	10	16	0	0	0	1	68.21
285	2	1.13019	0	10	15	0	0	0	0	286.15
286	2	0.325	0	10	16	1	1	0	0	23.77
287	2	1.61623	0	10	16	1	0	0	0	278.54
288	3	3.913	0	10	16	0	0	0	1	71.36
289	2	3.14182	0	9	14	1	0	0	0	779.04
290	2	1.263	0	9	14	1	0	0	0	165.11
291	3	1.24107	0	12	18	0	0	0	0	235.21
292	2	4.268	0	12	18	0	0	0	0	121.75
293	2	4.36	0	12	19	1	0	0	0	133.98
294	1	1.22059	0	12	18	1	0	0	0	243.22
295	3	3.75005	0	12	19	1	0	0	0	1211.73
296	2	4.04145	0	12	17	0	0	0	1	64.20
297	3	1.462	0	12	18	1	0	0	0	303.55
298	3	4.77752	0	12	18	1	0	0	0	67.48
299	1	0.880555	0	12	19	0	0	0	0	81.58
300	3	2.61394	0	12	18	1	0	0	0	674.63
301	3	4.225	0	12	19	1	0	0	1	68.37
302	4	4.633	0	12	18	0	1	0	1	81.46
303	2	2.721	0	12	18	0	0	0	0	612.11
304	2	2.526	0	8	14	0	0	0	0	784.57
305	1	0.652	0	8	14	1	0	0	0	2.33
306	3	2.929	0	8	14	0	0	0	0	837.70
307	3	4.49766	0	8	14	0	0	0	0	367.82
309	2	2.30259	0	8	14	1	0	0	0	196.91
310	4	6.223	0	8	14	1	1	0	0	141.55
311	3	1.615	0	8	14	1	0	0	0	209.39
312	3	4.53	0	8	14	1	0	0	0	1435.77
313	3	4.36006	0	8	14	1	0	0	0	137.02
314	2	3.08127	0	8	13	0	0	0	0	106.54
315	3	3.75005	0	8	14	1	0	0	0	1143.84
316	3	1.615	0	8	13	0	0	0	0	199.63
317	3	6.031	0	8	14	1	0	0	0	140.03
318	2	3.25	0	8	14	0	0	0	0	536.81
319	3	1.399	0	8	14	1	0	0	0	80.99
320	2	1.51993	0	8	13	0	0	0	0	197.46
321	3	4.27172	0	8	14	1	0	0	1	96.36
322	2	2.47	0	8	14	0	1	0	0	147.85
323	3	1.79181	0	8	14	1	0	0	0	482.85
324	2	2.07551	0	8	14	0	0	0	0	95.01
325	3	5.113	0	6	12	0	0	0	0	1170.59
326	3	5.89	0	6	11	1	0	0	0	158.04
327	2	1.24107	0	6	12	1	0	0	0	169.12
