"","ch.Xbox","ch.PlayStation","ch.PSPortable","ch.GameCube","ch.GameBoy","ch.PC","own.Xbox","own.PlayStation","own.PSPortable","own.GameCube","own.GameBoy","own.PC","age","hours"
"1",2,1,3,5,6,4,0,1,0,0,0,1,33,2
"2",4,2,3,5,6,1,0,1,0,0,0,1,19,3.25
"3",3,1,2,4,6,5,0,1,0,0,0,1,18,4
"4",3,5,6,1,4,2,1,0,0,1,1,1,18,6
"5",1,2,3,4,6,5,0,0,0,0,0,1,18,2
"6",3,2,5,4,6,1,0,1,0,0,0,1,20,15
"7",3,2,4,6,5,1,0,1,0,0,1,1,18,7
"8",2,3,4,1,5,6,0,0,0,0,0,0,18,0
"9",2,3,1,5,6,4,0,0,0,0,0,0,18,0
"10",2,1,4,5,6,3,0,0,0,0,0,1,18,8
"11",2,1,4,5,6,3,0,1,1,0,0,1,18,8
"12",3,2,4,6,5,1,0,0,0,0,0,1,17,3
"13",3,4,5,2,1,6,0,0,0,0,0,1,22,0
"14",3,2,4,6,5,1,0,0,0,0,1,1,18,4
"15",1,2,3,5,6,4,1,0,1,0,0,1,18,4
"16",3,2,1,5,6,4,1,1,1,0,0,0,18,5
"17",5,1,3,6,4,2,0,0,0,0,0,1,22,0
"18",5,3,2,1,4,6,0,0,0,0,0,1,19,0
"19",3,2,4,5,6,1,0,0,0,0,0,1,19,0
"20",2,4,5,3,6,1,0,0,0,0,0,1,19,0
"21",2,5,4,6,3,1,0,0,0,0,0,1,17,0
"22",3,4,5,6,2,1,0,0,0,0,0,1,18,3
"23",1,2,3,6,4,5,1,0,0,0,0,1,18,1
"24",2,1,3,6,5,4,0,1,1,0,0,1,19,1
"25",1,4,3,6,5,2,1,0,0,0,0,1,19,2
"26",1,2,6,4,5,3,0,0,0,0,0,0,22,0
"27",1,2,3,5,6,4,0,1,0,0,0,1,18,2
"28",3,2,5,4,6,1,0,1,0,0,0,1,20,15
"29",1,4,5,3,6,2,0,0,0,0,0,1,18,2
"30",1,3,2,5,6,4,0,0,0,0,0,1,18,10
"31",4,2,3,6,5,1,0,0,1,0,0,1,18,1
